Name of the initiative,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Saitama ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokyo CaT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000273447,0.000265552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korea ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012934735,0.013177878,0.013142841,0.012927101,0.012534519,0.012433272,0.012262648,0.011445538,0.010987334,0.010987334,0.009752802
Kazakhstan ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003439186,0.002905111,0.002605404,0.002710894,0.0028233,0.002793471,0.002669792,0.002862646,0.002945798,0.002902347,0.00284282,0.00284282,0.002600878
Montenegro ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22E-06,1.21E-06,1.21E-06,1.21E-06
Mexico ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522125,0.005201266,0.005291991,0.005378102,0.005378102,0.004840292
New Zealand ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000942841,0.000928445,0.000887476,0.000856883,0.000872121,0.000845919,0.000855024,0.000846045,0.000839616,0.000838464,0.000815935,0.000820381,0.000824962,0.000787107,0.000770209,0.000763187,0.000763187,0.000699588
RGGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002318417,0.002238115,0.002100951,0.001966219,0.001980244,0.002015914,0.00201269,0.001969504,0.001861429,0.001902882,0.001841957,0.001714874,0.001715094,0.001701886,0.001669932,0.001669932,0.001669932
UK ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002278479,0.002190272,0.002005344,0.002005344,0.001933725
California CaT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003054452,0.003024332,0.002965365,0.006537901,0.006445094,0.006372195,0.006228593,0.006248556,0.005758704,0.005797133,0.005752488,0.00564448,0.00564448,0.00564448
Massachusetts ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington CCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001138412,0.001138412,0.001154675
Oregon ETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428829,0.000425527,0.000417537,0.000417537,0.000466088
Colorado GHG crediting trading system,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37E-08
Albania carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012869,0.000129588,0.000128237,0.000131203,0.000124636,0.000126572,0.000132777,0.000130717,0.000124346,0.00013412,0.000130942,0.000122694,0.000117909,0.000118843,0.000109735,0.000105768,0.000105768,0.000105768
Argentina carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002709384,0.002674647,0.002675549,0.002708892,0.002740292,0.002623717,0.002623717,0.002623717
Canada federal fuel charge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004763834,0.004474132,0.004377932,0.004445487,0.00437626,0.00437626,0
Alberta carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002298767,0.002255285,0.002252405,0,0,0,0,0,0
BC carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001111397,0.001060566,0.001002516,0.00099109,0.001021131,0.000991865,0.000969051,0.000983426,0.000994729,0.000994408,0.001003394,0.000982868,0.000956866,0.000915289,0.00090824,0.000891187,0.000891187,0
