Unique ID,Name of the initiative,Instrument Type,Region,Income group,Metric,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ETS_CN_Guangdong,Guangdong pilot ETS,ETS,East Asia & Pacific,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,0,10.08080907,5.485561741,2.213662521,1.883616311,2.324951398,2.920143027,4.131417069,5.715677025,12.51022205,12.34185048,8.939504927,5.406967145
ETS_CN_Hubei,Hubei pilot ETS,ETS,East Asia & Pacific,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,3.414467587,4.184979002,3.503805458,1.782034538,2.326544921,4.12693683,3.566954294,4.41154092,7.240359816,6.962218825,5.618288115,5.272136921
Tax_IS,Iceland carbon tax,Carbon tax,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,8.843175828,9.904604311,8.965638103,17.61518696,20.2779968,16.20887554,18.60878151,21.1909866,36.67678942,35.47428355,30.74379989,35.36209385,35.61275839,36.10866608,36.50816385,60.06006006
ETS_ID,Indonesia ETS,ETS,East Asia & Pacific,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612165181,0.724375226
Tax_IE,Ireland carbon tax,Carbon tax,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,20.17719644,21.185457,26.69666382,25.59529651,27.56416548,21.49765045,22.85087308,21.36972394,24.62785227,22.45909814,28.5216403,39.67853261,45.69004849,53.18511109,52.56889739,68.5038
Tax_IL,Israel carbon tax,Carbon tax,Middle East & North Africa,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.511470985
Tax_JP,Japan carbon tax,Carbon tax,East Asia & Pacific,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,1.075378962,0.940913641,1.710901166,1.472986773,2.393590378,2.396794649,2.529059614,2.417724527,2.496382603,2.424053077,2.197715552,2.011993111,1.905075808,1.929238985
ETS_KZ,Kazakhstan ETS,ETS,Europe & Central Asia,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1.112451318,1.176775165,1.08082606,1.115760112,1.059208169,0.931726271
ETS_KR,Korea ETS,ETS,East Asia & Pacific,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,9.104020191,6.885102665,18.23313323,20.62822316,23.45744213,32.78688525,15.89263641,18.74948377,11.23638595,6.302427437,6.453148375
Tax_LT,Latvia carbon Tax,Carbon tax,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3.93015,3.76425,4.0012,4.81095,5.54445,5.0562,9.8424,14.0952,16.578,16.3125,16.1235,16.182
